Lesson_Summary,Quiz Summary,Assignment Summary,Grade Point Average,Intermediate class Eligibility
0,FALSE,24,73.1,TRUE
1,FALSE,65,78.5,FALSE
0.4,FALSE,71,32.7,FALSE
1,TRUE,7,52.2,FALSE
1.2,FALSE,51,38.5,FALSE
1,TRUE,11,14.2,TRUE
1,TRUE,30,5.8,TRUE
0.8,TRUE,34,75,TRUE
1,TRUE,82,19.1,TRUE
1.4,TRUE,10,53.9,TRUE
1,FALSE,78,28.4,FALSE
1,TRUE,97,73.3,FALSE
0.8,TRUE,82,18.4,TRUE
1,TRUE,35,28.7,TRUE
1,TRUE,31,57.2,TRUE
1,FALSE,79,55.5,FALSE
0.4,FALSE,4,35.1,FALSE
1,FALSE,34,38,TRUE
0.6,TRUE,51,96.2,FALSE
0.6,FALSE,71,63.1,TRUE
1,FALSE,24,67.7,TRUE
1,TRUE,66,0.7,FALSE
0.8,TRUE,86,80.5,FALSE
1,FALSE,38,36.8,TRUE
1,TRUE,42,9.7,TRUE
1.2,TRUE,8,4.3,FALSE
0.6,TRUE,45,48.4,TRUE
1,FALSE,49,87.5,TRUE
1,TRUE,38,33.7,FALSE
1,FALSE,24,30.5,TRUE
1,TRUE,21,72.1,FALSE
1,FALSE,19,74.8,FALSE
0,TRUE,98,96.2,TRUE
1,TRUE,83,19.9,FALSE
1,TRUE,92,24.1,FALSE
1,FALSE,69,49.7,FALSE
1,TRUE,23,16.9,FALSE
1,FALSE,38,66,TRUE
0.6,TRUE,47,40.8,FALSE
0.6,FALSE,80,84,TRUE
0.6,FALSE,89,87.8,TRUE
0.4,TRUE,66,67,TRUE
1,TRUE,48,44.6,FALSE
1,TRUE,87,37.3,TRUE
1,TRUE,67,92.2,TRUE
1,TRUE,29,62.5,FALSE
0,TRUE,96,43.7,FALSE
0.8,FALSE,50,14.5,TRUE
0,TRUE,9,82.8,FALSE
0,TRUE,32,60.1,TRUE
0,FALSE,96,55.4,FALSE
1,FALSE,80,60.5,TRUE
1,TRUE,55,19.9,TRUE
0,TRUE,43,47.7,FALSE
0,TRUE,53,39.2,TRUE
0,TRUE,31,33.1,FALSE
0,TRUE,46,96.4,FALSE
0.4,FALSE,34,25.6,FALSE
0,FALSE,46,15.5,FALSE
0,TRUE,58,19.5,TRUE
