S/N,Name,Lesson Summary,Quiz Summary,Assignment Summary,Grade Point Average,Intermediate class Eligibility
1,id_1,0/5,NaN,0,0,No
2,id_2,5-May,NaN,70,56,Yes
3,id_3,5-Feb,NaN,80,64,Yes
4,id_4,5-May,NaN,100,80,Yes
5,id_5,5-Jun,NaN,80,64,Yes
6,id_6,5-May,NaN,90,72,Yes
7,id_7,5-May,NaN,98,78.4,Yes
8,id_8,5-Apr,NaN,100,80,Yes
9,id_9,5-May,NaN,100,80,Yes
10,id_10,5-Jul,NaN,100,80,Yes
11,id_11,5-May,NaN,100,80,Yes
12,id_12,5-May,NaN,100,80,Yes
13,id_13,5-Apr,NaN,98,78.4,Yes
14,id_14,5-May,NaN,100,80,Yes
15,id_15,5-May,NaN,100,80,Yes
16,id_16,5-May,NaN,70,56,Yes
17,id_17,5-Feb,NaN,0,0,No
18,id_18,5-May,NaN,90,72,Yes
19,id_19,5-Mar,NaN,100,80,Yes
20,id_20,5-Mar,NaN,100,80,Yes
21,id_21,5-May,NaN,100,80,Yes
22,id_22,5-May,NaN,100,80,Yes
23,id_23,5-Apr,NaN,100,80,Yes
24,id_24,5-May,NaN,100,80,Yes
25,id_25,5-May,NaN,100,80,Yes
26,id_26,5-Jun,NaN,98,78.4,Yes
27,id_27,5-Mar,NaN,0,0,No
28,id_28,5-May,NaN,100,80,Yes
29,id_29,5-May,NaN,100,80,Yes
30,id_30,5-May,NaN,100,80,Yes
31,id_31,5-May,NaN,100,80,Yes
32,id_32,5-May,NaN,100,80,Yes
33,id_33,0/5,NaN,0,0,No
34,id_34,5-May,NaN,80,64,Yes
35,id_35,5-May,NaN,100,80,Yes
36,id_36,5-May,NaN,70,56,Yes
37,id_37,5-May,NaN,0,0,No
38,id_38,5-May,NaN,100,80,Yes
39,id_39,5-Mar,NaN,100,80,Yes
40,id_40,5-Mar,NaN,0,0,No
41,id_41,5-Mar,NaN,90,72,Yes
42,id_42,5-Feb,NaN,0,0,No
43,id_43,5-May,NaN,100,80,Yes
44,id_44,5-May,NaN,100,80,Yes
45,id_45,5-May,NaN,80,64,Yes
46,id_46,5-May,NaN,100,80,Yes
47,id_47,0/5,NaN,0,0,No
48,id_48,5-Apr,NaN,100,80,Yes
49,id_49,0/5,NaN,0,0,No
50,id_50,0/5,NaN,0,0,No
51,id_51,0/5,NaN,0,0,No
52,id_52,5-May,NaN,100,80,Yes
53,id_53,5-May,NaN,100,80,Yes
54,id_54,0/5,NaN,0,0,No
55,id_55,0/5,NaN,0,0,No
56,id_56,0/5,NaN,0,0,No
57,id_57,0/5,NaN,0,0,No
58,id_58,5-Feb,NaN,0,0,No
59,id_59,0/5,NaN,0,0,No
60,id_60,0/5,NaN,0,0,No
